1 измерение				2 измерение				3 измерение	
	1000г				1000г				1020 г
1266	216			1349	216			8349	216
1310	217			1350	217			8580	217
1269	218			1352	218			8093	218
1220	219			1373	219			8397	219
1276	220			1346	220			8489	220
1271	221			1304	221			8029	221
1244	222			1338	222			8298	222
1272	223			1350	223			8687	223
1244	224			1387	224			8323	224
1229	225			1367	225			8400	225
1255	226			1362	226			8771	226
1264	227			1371	227			8357	227
1259	228			1381	228			8607	228
1256	229			1368	229			8757	229
1242	230			1306	230			8199	230
1236	231			1331	231			8398	231
1258	232			1328	232			8628	232
1250	233			1326	233			8420	233
1239	234			1373	234			8509	234
1298	235			1343	235			8773	235
1277	236			1352	236			8388	236
1255	237			1371	237			8377	237
1309	238			1338	238			8810	238
1252	239			1342	239			8378	239
1243	240			1365	240			8204	240
1282	241			1339	241			8672	241
1267	242			1352	242			8310	242
1223	243			1370	243			8475	243
1296	244			1355	244			8683	244
1255	245			1336	245			8179	245
1215	246			1370	246			8400	246
1286	247			1348	247			8811	247
1293	248			1316	248			8289	248
1315	249			1356	249			8594	249
1284	250			1328	250			8724	250
1314	251			1295	251			7981	251
1309	252			1330	252			8186	252
1294	253			1339	253			8754	253
1254	254			1350	254			8250	254
1240	255			1377	255			8324	255
1296	256			1365	256			8807	256
1269	257			1393	257			8264	257
1246	258			1399	258			8300	258
1279	259			1378	259			8566	259
1278	260			1366	260			8207	260
1235	261			1381	261			8312	261
1282	262			1385	262			8657	262
1287	263			1362	263			8312	263
1262	264			1413	264			8269	264
1323	265			1388	265			8549	265
1273	266			1358	266			8293	266
1277	267			1366	267			8405	267
1291	268			1348	268			8806	268
1263	269			1322	269			8297	269
1253	270			1373	270			8354	270
1300	271			1338	271			8837	271
1267	272			1323	272			8332	272
1252	273			1373	273			8365	273
1275	274			1358	274			8860	274
1272	275			1342	275			8197	275
1255	276			1388	276			8254	276
1273	277			1370	277			8719	277
1254	278			1345	278			8250	278
1234	279			1401	279			8287	279
1286	280			1360	280			8757	280
1283	281			1327	281			8379	281
1277	282			1390	282			8499	282
1322	283			1367	283			8768	283
1282	284			1356	284			8303	284
1255	285			1430	285			8444	285
1280	286			1387	286			8820	286
1264	287			1365	287			8564	287
1242	288			1373	288			8653	288
1281	289			1341	289			8843	289
1274	290			1354	290			8566	290
1259	291			1401	291			8461	291
1297	292			1345	292			8851	292
1260	293			1310	293			8343	293
1246	294			1356	294			8291	294
1302	295			1375	295			8901	295
1307	296			1354	296			8593	296
1295	297			1361	297			8512	297
1306	298			1353	298			8769	298
1276	299			1364	299			8345	299
1253	300			1403	300			8320	300
1291	301			1374	301			8983	301
1258	302			1370	302			8488	302
1250	303			1385	303			8345	303
1308	304			1333	304			8785	304
1282	305			1322	305			8495	305
1250	306			1387	306			8332	306
1320	307			1366	307			8649	307
1292	308			1329	308			8045	308
1262	309			1353	309			8579	309
1296	310			1371	310			8789	310
1288	311			1349	311			8458	311
1280	312			1396	312			8560	312
1319	313			1393	313			8762	313
1281	314			1302	314			8258	314
1261	315			1357	315			8412	315
1330	316			1340	316			8676	316
1309	317			1353	317			8232	317
1300	318			1422	318			8595	318
1336	319			1395	319			8915	319
1288	320			1356	320			8371	320
1278	321			1400	321			8642	321
1325	322			1379	322			9102	322
1274	323			1344	323			8400	323
1260	324			1386	324			8369	324
1317	325			1411	325			8680	325
1285	326			1377	326			8466	326
1239	327			1420	327			8321	327
1285	328			1394	328			8775	328
1278	329			1352	329			8512	329
1266	330			1396	330			8575	330
